ubicacion,t_ms,pc_time_s,ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps
Asiento,1538827.0,1765877778.7850413,-0.0,0.0,2.39420166015625e-05,-0.0008396946564885496,0.0016030534351145038,0.0020610687022900765
Asiento,1538839.0,1765877778.7854707,-0.0,-0.0,0.0,-0.004809160305343512,-0.007251908396946565,0.0012213740458015267
Asiento,1538851.0,1765877778.785852,0.0,0.0,-2.39420166015625e-05,-0.003129770992366412,-0.002900763358778626,0.0019083969465648854
Asiento,1538863.0,1765877778.7862594,-0.0,0.0,2.39420166015625e-05,-0.0011450381679389313,-0.0022900763358778627,0.0016030534351145038
Asiento,1538875.0,1765877778.7866628,-0.0,-0.0,-0.0,-0.0006106870229007634,-0.005419847328244275,0.001450381679389313
Asiento,1538892.0,1765877778.7870355,-0.0,0.0,2.39420166015625e-05,-0.001984732824427481,-0.001984732824427481,0.000916030534351145
Asiento,1538904.0,1765877778.7874067,0.0,0.0,2.39420166015625e-05,-0.001450381679389313,-0.0040458015267175575,0.001984732824427481
Asiento,1538916.0,1765877778.7877886,-0.0,0.0,0.0,-0.003282442748091603,-0.0016793893129770992,0.002137404580152672
Asiento,1538928.0,1765877778.7881775,-2.39420166015625e-05,-0.0,2.39420166015625e-05,-0.00183206106870229,-0.0022900763358778627,0.0024427480916030535
Asiento,1538940.0,1765877778.7885666,-0.0,0.0,2.39420166015625e-05,-0.0015267175572519084,-0.002748091603053435,0.001450381679389313
Asiento,1538952.0,1765877778.7889535,-0.0,0.0,0.0,-0.002213740458015267,-0.0028244274809160305,0.0019083969465648854
Asiento,1538964.0,1765877778.7893322,-2.39420166015625e-05,0.0,2.39420166015625e-05,-0.0008396946564885496,-0.0030534351145038168,0.0012213740458015267
Asiento,1538976.0,1765877778.7897098,-0.0,0.0,2.39420166015625e-05,-0.0009923664122137405,-0.0024427480916030535,0.001450381679389313
Asiento,1538988.0,1765877778.7900848,-2.39420166015625e-05,0.0,0.0,-0.0025954198473282443,-0.0035877862595419846,0.0025954198473282443
Asiento,1539000.0,1765877778.790386,-0.0,-0.0,0.0,-0.002748091603053435,-0.0029770992366412214,0.0004580152671755725
Asiento,1539012.0,1765877778.7906873,-0.0,-0.0,2.39420166015625e-05,-0.003129770992366412,-0.0015267175572519084,0.000916030534351145
Asiento,1539024.0,1765877778.7909827,-2.39420166015625e-05,0.0,2.39420166015625e-05,-0.0012977099236641222,-0.0025954198473282443,0.0016030534351145038
Asiento,1539036.0,1765877778.7912786,-0.0,0.0,0.0,-0.002366412213740458,-0.004122137404580153,0.0016030534351145038
