ubicacion,t_ms,pc_time_s,tiempo_s,ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gps_lat,gps_lon,gps_alt_m,gps_sats,gps_fix,gps_hdop,velocidad
Suelo,46949.0,1766060552.2040675,0.0,2.39420166015625e-05,-4.7884033203125e-05,2.39420166015625e-05,0.008473282442748092,0.006641221374045801,-0.009618320610687023,,,,,,,
Suelo,47801.0,1766060552.2076664,0.003598928451538086,2.39420166015625e-05,-7.182604980468749e-05,-0.0,0.00984732824427481,0.006946564885496183,-0.010458015267175573,,,,,,,
Suelo,47813.0,1766060552.2106035,0.006536006927490234,2.39420166015625e-05,-7.182604980468749e-05,2.39420166015625e-05,0.009694656488549619,0.005877862595419847,-0.008854961832061067,,,,,,,
Suelo,47825.0,1766060552.2136807,0.009613275527954102,2.39420166015625e-05,-4.7884033203125e-05,2.39420166015625e-05,0.010152671755725191,0.006564885496183206,-0.009618320610687023,,,,,,,
Suelo,47837.0,1766060552.2168543,0.012786865234375,2.39420166015625e-05,-7.182604980468749e-05,0.0,0.010152671755725191,0.006564885496183206,-0.009694656488549619,,,,,,,
Suelo,47849.0,1766060552.2196732,0.015605688095092773,2.39420166015625e-05,-4.7884033203125e-05,0.0,0.008702290076335877,0.007251908396946565,-0.00916030534351145,,,,,,,
Suelo,47861.0,1766060552.2222013,0.018133878707885742,2.39420166015625e-05,-4.7884033203125e-05,0.0,0.009694656488549619,0.005954198473282443,-0.009923664122137405,,,,,,,
Suelo,47873.0,1766060552.224523,0.020455598831176758,2.39420166015625e-05,-7.182604980468749e-05,0.0,0.00916030534351145,0.006641221374045801,-0.009770992366412214,,,,,,,
Suelo,47885.0,1766060552.2269688,0.022901296615600586,2.39420166015625e-05,-4.7884033203125e-05,-0.0,0.009618320610687023,0.007938931297709924,-0.00900763358778626,,,,,,,
Suelo,47897.0,1766060552.2293296,0.025262117385864258,0.0,-4.7884033203125e-05,-0.0,0.009465648854961832,0.00732824427480916,-0.008931297709923663,,,,,,,
Suelo,47909.0,1766060552.2313938,0.027326345443725586,2.39420166015625e-05,-4.7884033203125e-05,0.0,0.00984732824427481,0.00801526717557252,-0.009770992366412214,,,,,,,
Suelo,47921.0,1766060552.2337239,0.029656410217285156,4.7884033203125e-05,-7.182604980468749e-05,0.0,0.009618320610687023,0.007480916030534351,-0.009770992366412214,,,,,,,
Suelo,47933.0,1766060552.236321,0.03225350379943848,2.39420166015625e-05,-4.7884033203125e-05,0.0,0.010229007633587786,0.00732824427480916,-0.009541984732824428,,,,,,,
Suelo,47945.0,1766060552.2391639,0.03509640693664551,2.39420166015625e-05,-7.182604980468749e-05,0.0,0.009465648854961832,0.005038167938931298,-0.00916030534351145,,,,,,,
Suelo,47957.0,1766060552.242107,0.038039445877075195,2.39420166015625e-05,-4.7884033203125e-05,0.0,0.00984732824427481,0.007175572519083969,-0.010229007633587786,,,,,,,
Suelo,47969.0,1766060552.2448843,0.0408167839050293,2.39420166015625e-05,-4.7884033203125e-05,2.39420166015625e-05,0.009541984732824428,0.006793893129770992,-0.009618320610687023,,,,,,,
Suelo,47981.0,1766060552.247532,0.04346442222595215,2.39420166015625e-05,-4.7884033203125e-05,-2.39420166015625e-05,0.009770992366412214,0.006946564885496183,-0.00984732824427481,,,,,,,
Suelo,47993.0,1766060552.250126,0.04605841636657715,2.39420166015625e-05,-4.7884033203125e-05,0.0,0.00900763358778626,0.006564885496183206,-0.009694656488549619,,,,,,,
Suelo,48005.0,1766060552.252883,0.04881548881530762,2.39420166015625e-05,-7.182604980468749e-05,0.0,0.009923664122137405,0.00801526717557252,-0.00900763358778626,,,,,,,
Suelo,48017.0,1766060552.2555392,0.051471710205078125,2.39420166015625e-05,-7.182604980468749e-05,0.0,0.01,0.007175572519083969,-0.009312977099236642,,,,,,,
Suelo,48029.0,1766060552.2590666,0.05499911308288574,2.39420166015625e-05,-4.7884033203125e-05,0.0,0.009312977099236642,0.007862595419847329,-0.009618320610687023,,,,,,,
Suelo,48041.0,1766060552.26196,0.057892560958862305,2.39420166015625e-05,-4.7884033203125e-05,2.39420166015625e-05,0.009083969465648855,0.006412213740458015,-0.01,,,,,,,
Suelo,48053.0,1766060552.2642171,0.0601496696472168,2.39420166015625e-05,-4.7884033203125e-05,-0.0,0.009083969465648855,0.0074045801526717555,-0.009923664122137405,,,,,,,
Suelo,48065.0,1766060552.2663534,0.0622859001159668,2.39420166015625e-05,-4.7884033203125e-05,2.39420166015625e-05,0.009236641221374046,0.0074045801526717555,-0.01,,,,,,,
Suelo,48077.0,1766060552.271961,0.06789350509643555,2.39420166015625e-05,-7.182604980468749e-05,-0.0,0.008702290076335877,0.005419847328244275,-0.010229007633587786,,,,,,,
Suelo,48089.0,1766060552.2741287,0.07006120681762695,2.39420166015625e-05,-7.182604980468749e-05,-0.0,0.008702290076335877,0.007099236641221375,-0.009923664122137405,,,,,,,
Suelo,48101.0,1766060552.2769537,0.07288622856140137,0.0,-4.7884033203125e-05,-0.0,0.009694656488549619,0.007938931297709924,-0.009312977099236642,,,,,,,
