t_ms,ax,ay,az,gx,gy,gz
1372137.0,-4528.0,3968.0,17676.0,-1697.0,4093.0,1501.0
1372241.0,1196.0,3384.0,32767.0,-19504.0,-6190.0,4655.0
1372345.0,2344.0,-5596.0,-9352.0,-3547.0,-691.0,-1845.0
1372449.0,-1156.0,6256.0,31788.0,2998.0,4874.0,-2088.0
1372553.0,1428.0,16692.0,32767.0,-17687.0,-5568.0,7079.0
1372657.0,3800.0,-8656.0,-15644.0,-6159.0,1611.0,-1038.0
1372761.0,1728.0,7560.0,28640.0,9022.0,-642.0,-3380.0
1372865.0,-6148.0,5700.0,32767.0,18843.0,-4714.0,1533.0
1372969.0,-2804.0,-6916.0,-17020.0,-7107.0,2574.0,-1833.0
1373073.0,1628.0,8488.0,32767.0,7951.0,-344.0,-3342.0
1373177.0,-916.0,9344.0,32767.0,11519.0,-2702.0,439.0
1373281.0,-4200.0,-10560.0,-19884.0,-9073.0,-1712.0,-1041.0
1373385.0,712.0,9120.0,31116.0,6383.0,-270.0,-2704.0
1373494.0,748.0,9348.0,32767.0,11151.0,2470.0,2669.0
1373598.0,-2384.0,-8436.0,-17836.0,-7854.0,-4275.0,-1547.0
1373702.0,2528.0,6812.0,26460.0,-1236.0,-5682.0,-3702.0
1373806.0,-3332.0,10808.0,32767.0,14797.0,4861.0,-288.0
1373910.0,-3932.0,-8076.0,-18256.0,-9980.0,-1900.0,-1146.0
1374014.0,1840.0,8704.0,28004.0,2737.0,1210.0,-1697.0
1374118.0,-2224.0,8228.0,31528.0,10008.0,2182.0,1188.0
1374222.0,-1432.0,-9372.0,-15708.0,-7280.0,-2210.0,535.0
1374326.0,-884.0,11444.0,20748.0,-9903.0,-6390.0,-1599.0
1374430.0,-5824.0,9756.0,32767.0,12275.0,8350.0,410.0
1374534.0,-3372.0,-9092.0,-18056.0,-6115.0,-6850.0,-706.0
1374638.0,96.0,11200.0,12052.0,-13250.0,476.0,-3396.0
1374742.0,-6852.0,7148.0,27376.0,11322.0,4334.0,-563.0
1374846.0,-3600.0,-8496.0,-13896.0,-3927.0,-3861.0,223.0
1374950.0,192.0,8756.0,3236.0,-27536.0,2470.0,-1433.0
1375054.0,504.0,9780.0,32767.0,15283.0,4814.0,723.0
1375158.0,-1848.0,-7552.0,-15496.0,-4188.0,-4901.0,590.0
1375262.0,1120.0,-36.0,-3940.0,-29968.0,3605.0,-2959.0
1375366.0,-3312.0,11352.0,32767.0,18250.0,2743.0,986.0
1375470.0,-1184.0,-7016.0,-16568.0,-2442.0,-5402.0,-87.0
1375579.0,4116.0,-5400.0,-17456.0,-26498.0,4447.0,-2754.0
